完整密码分析统计报告
============================================================

总共分析密码数量: 442835
包含中文字符的密码数量: 0
包含英文单词的密码数量: 409732
密码长度统计 - 平均: 8.3, 最短: 1, 最长: 30

============================================================
拼音使用统计（完整列表）
============================================================

总共发现 353 种不同的拼音
拼音总出现次数: 397982

所有拼音使用统计（按出现频率排序）:
----------------------------------------
   1. le              - 出现次数: 21613
   2. te              - 出现次数: 19622
   3. re              - 出现次数: 19100
   4. ma              - 出现次数: 18922
   5. de              - 出现次数: 12445
   6. mo              - 出现次数: 11839
   7. li              - 出现次数: 10939
   8. se              - 出现次数: 10847
   9. ke              - 出现次数: 10591
  10. ti              - 出现次数: 9611
  11. mi              - 出现次数: 9345
  12. bo              - 出现次数: 8745
  13. ni              - 出现次数: 8439
  14. he              - 出现次数: 8378
  15. si              - 出现次数: 7849
  16. ce              - 出现次数: 7787
  17. ge              - 出现次数: 6524
  18. di              - 出现次数: 6362
  19. bu              - 出现次数: 6042
  20. po              - 出现次数: 5998
  21. man             - 出现次数: 5719
  22. su              - 出现次数: 5668
  23. lu              - 出现次数: 5321
  24. wo              - 出现次数: 5308
  25. bi              - 出现次数: 4852
  26. ru              - 出现次数: 4215
  27. fa              - 出现次数: 3861
  28. ci              - 出现次数: 3741
  29. pi              - 出现次数: 3630
  30. che             - 出现次数: 3401
  31. tu              - 出现次数: 3346
  32. mu              - 出现次数: 3306
  33. sha             - 出现次数: 3273
  34. fo              - 出现次数: 3214
  35. pu              - 出现次数: 2986
  36. cha             - 出现次数: 2828
  37. lan             - 出现次数: 2733
  38. chi             - 出现次数: 2701
  39. fu              - 出现次数: 2672
  40. du              - 出现次数: 2585
  41. ran             - 出现次数: 2557
  42. ye              - 出现次数: 2552
  43. ju              - 出现次数: 2511
  44. lin             - 出现次数: 2500
  45. nu              - 出现次数: 2378
  46. shi             - 出现次数: 2241
  47. dan             - 出现次数: 2212
  48. cu              - 出现次数: 2160
  49. min             - 出现次数: 2058
  50. han             - 出现次数: 2005
  51. gu              - 出现次数: 1938
  52. ren             - 出现次数: 1815
  53. ze              - 出现次数: 1780
  54. hu              - 出现次数: 1732
  55. lie             - 出现次数: 1534
  56. ji              - 出现次数: 1517
  57. she             - 出现次数: 1479
  58. you             - 出现次数: 1452
  59. san             - 出现次数: 1447
  60. qu              - 出现次数: 1431
  61. tan             - 出现次数: 1415
  62. zi              - 出现次数: 1411
  63. ku              - 出现次数: 1384
  64. ang             - 出现次数: 1323
  65. sun             - 出现次数: 1241
  66. can             - 出现次数: 1227
  67. ken             - 出现次数: 1156
  68. die             - 出现次数: 1151
  69. yan             - 出现次数: 1141
  70. gan             - 出现次数: 1117
  71. nie             - 出现次数: 1109
  72. pan             - 出现次数: 977
  73. pin             - 出现次数: 954
  74. tie             - 出现次数: 943
  75. ban             - 出现次数: 927
  76. pen             - 出现次数: 906
  77. lia             - 出现次数: 886
  78. yu              - 出现次数: 850
  79. ben             - 出现次数: 811
  80. xi              - 出现次数: 808
  81. jun             - 出现次数: 803
  82. lv              - 出现次数: 790
  83. men             - 出现次数: 768
  84. gen             - 出现次数: 760
  85. ting            - 出现次数: 744
  86. que             - 出现次数: 737
  87. mai             - 出现次数: 699
  88. hun             - 出现次数: 689
  89. nan             - 出现次数: 666
  90. fan             - 出现次数: 666
  91. lou             - 出现次数: 630
  92. bie             - 出现次数: 630
  93. chan            - 出现次数: 617
  94. sai             - 出现次数: 615
  95. run             - 出现次数: 598
  96. pie             - 出现次数: 577
  97. rang            - 出现次数: 567
  98. sen             - 出现次数: 560
  99. chu             - 出现次数: 559
 100. shan            - 出现次数: 555
 101. kan             - 出现次数: 550
 102. cou             - 出现次数: 544
 103. hen             - 出现次数: 539
 104. zu              - 出现次数: 528
 105. hou             - 出现次数: 522
 106. yi              - 出现次数: 516
 107. lve             - 出现次数: 514
 108. sou             - 出现次数: 506
 109. ling            - 出现次数: 487
 110. wan             - 出现次数: 476
 111. wu              - 出现次数: 474
 112. mie             - 出现次数: 467
 113. mou             - 出现次数: 465
 114. bin             - 出现次数: 434
 115. mei             - 出现次数: 432
 116. nv              - 出现次数: 422
 117. tai             - 出现次数: 403
 118. rou             - 出现次数: 391
 119. cen             - 出现次数: 391
 120. hai             - 出现次数: 390
 121. gun             - 出现次数: 386
 122. tang            - 出现次数: 380
 123. lai             - 出现次数: 378
 124. bai             - 出现次数: 373
 125. dian            - 出现次数: 368
 126. gui             - 出现次数: 365
 127. lei             - 出现次数: 356
 128. kai             - 出现次数: 352
 129. dai             - 出现次数: 349
 130. lian            - 出现次数: 333
 131. shua            - 出现次数: 324
 132. pai             - 出现次数: 309
 133. xie             - 出现次数: 308
 134. dun             - 出现次数: 306
 135. wen             - 出现次数: 297
 136. ding            - 出现次数: 294
 137. dou             - 出现次数: 294
 138. tun             - 出现次数: 282
 139. xu              - 出现次数: 279
 140. ming            - 出现次数: 260
 141. shu             - 出现次数: 252
 142. ning            - 出现次数: 248
 143. lun             - 出现次数: 248
 144. nai             - 出现次数: 246
 145. wai             - 出现次数: 242
 146. gai             - 出现次数: 238
 147. tian            - 出现次数: 230
 148. zan             - 出现次数: 222
 149. fen             - 出现次数: 215
 150. cai             - 出现次数: 205
 151. tou             - 出现次数: 204
 152. long            - 出现次数: 203
 153. rui             - 出现次数: 193
 154. gua             - 出现次数: 186
 155. zen             - 出现次数: 185
 156. kun             - 出现次数: 181
 157. fou             - 出现次数: 181
 158. qi              - 出现次数: 181
 159. hei             - 出现次数: 176
 160. chen            - 出现次数: 170
 161. jin             - 出现次数: 159
 162. mang            - 出现次数: 149
 163. yang            - 出现次数: 144
 164. peng            - 出现次数: 140
 165. nve             - 出现次数: 135
 166. ping            - 出现次数: 134
 167. chang           - 出现次数: 133
 168. bang            - 出现次数: 131
 169. lang            - 出现次数: 130
 170. wei             - 出现次数: 130
 171. chai            - 出现次数: 126
 172. dang            - 出现次数: 124
 173. juan            - 出现次数: 123
 174. song            - 出现次数: 119
 175. gang            - 出现次数: 119
 176. bing            - 出现次数: 115
 177. yin             - 出现次数: 112
 178. nei             - 出现次数: 112
 179. nen             - 出现次数: 107
 180. pou             - 出现次数: 99
 181. cun             - 出现次数: 98
 182. ying            - 出现次数: 89
 183. rong            - 出现次数: 89
 184. sang            - 出现次数: 89
 185. zai             - 出现次数: 85
 186. liu             - 出现次数: 84
 187. kou             - 出现次数: 83
 188. xin             - 出现次数: 82
 189. pian            - 出现次数: 81
 190. wang            - 出现次数: 79
 191. hang            - 出现次数: 78
 192. yun             - 出现次数: 77
 193. quan            - 出现次数: 77
 194. chun            - 出现次数: 76
 195. sui             - 出现次数: 74
 196. bian            - 出现次数: 74
 197. jing            - 出现次数: 68
